school_name,url_address,address,postal_code,mrt_desc,bus_desc,dgp_code,zone_code,type_code,nature_code,session_code,mainlevel_code,sap_ind,autonomous_ind,gifted_ind,ip_ind,mothertongue1_code,mothertongue2_code,mothertongue3_code,ccas_offered,subjects_offered,moe_programmes
MONTFORT SECONDARY SCHOOL,https://montfortsec.moe.edu.sg/,50   HOUGANG AVENUE 8,538785,HOUGANG MRT,"74, 74e, 88, 88A, 101, 147, 147A, 161",HOUGANG,NORTH,GOVERNMENT-AIDED SCH,BOYS' SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil,,"Art, Design & Technology, Art, Basic Chinese Language, Computer Applications, Design & Technology, Elements Of Business Skills, English Language, Food & Consumer Education, Mathematics, Basic Malay Language, Science, Social Studies, Basic Tamil Language, Additional Mathematics, Art, Chinese Language, Design & Technology, English Language, Food & Consumer Education, Geography, History, Literature In English, Mathematics, Malay Language, Principles Of Accounts, Science, Science (Chem, Bio), Science (Phy, Chem), Humanities (SS, Geography), Humanities (SS, History), Tamil Language, Additional Mathematics, Art, Art, Biology, Chemistry, Chinese Language, Chinese Language, Computing, Design & Technology, Design & Technology, English Language, English Language, Food & Consumer Education, Geography, Geography, Higher Chinese Language, Higher Chinese Language, History, History, Literature In English, Literature In English, Mathematics, Mathematics, Malay Language, Malay Language, Physics, Principles Of Accounts, Science, Science (Chem, Bio), Science (Phy, Chem), Humanities (SS, Geography), Humanities (SS, History), Tamil Language, Tamil Language, Music, Physical Education",
NAN CHIAU HIGH SCHOOL,http://www.nanchiauhigh.moe.edu.sg,20   ANCHORVALE LINK,545079,"SENGKANG MRT, RENJONG LRT, TONGKANG LRT","43, 83, 85, 109, 156, 159, 161, 163, 372",SENG KANG,NORTH,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,Yes,No,No,No,Chinese,na,na,,"Additional Mathematics, Art, Art, Biology, Chemistry, Chinese Language, Chinese Language, Design & Technology, Design & Technology, English Language, English Language, Food & Consumer Education, Geography, Geography, Higher Chinese Language, Higher Chinese Language, Higher Music, Higher Music, History, History, Literature In Chinese, Literature In English, Literature In English, Mathematics, Mathematics, Malay Language (special Programme), Malay Language (special Programme), Nutrition And Food Science, Physics, Science, Humanities (SS, Geography), Humanities (SS, History), Humanities (SS, Literature In Chinese), Humanities (SS, Literature In English), Music, Physical Education","Language Elective Programme (Chinese), Enhanced Art Programme"
NAN CHIAU PRIMARY SCHOOL,http://www.ncps.moe.edu.sg,50   ANCHORVALE LINK,545080,Sengkang Station,"156, 159, 161, 371, 372",SENG KANG,NORTH,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,,"Watch Me Soar, Art, Chinese Language, English Language, Foundation Chinese Language, Foundation English Language, Foundation Mathematics, Foundation Malay Language, Foundation Science, Higher Chinese Language, Higher Malay Language, Higher Tamil Language, Mathematics, Malay Language, Music, Physical Education, Science, Social Studies, Tamil Language",
NAN HUA HIGH SCHOOL,http://www.nanhuahigh.moe.edu.sg,41   CLEMENTI AVENUE 1,129956,CLEMENTI MRT,"14, 33, 52, 78, 96, 97, 105, 106, 147, 151, 154, 165, 166, 183, 185, 188, 189, 196, 197, 198, 282, 285, 963",CLEMENTI,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,Yes,Yes,No,No,Chinese,na,na,,"Additional Mathematics, Art, Biology, Chemistry, Chinese Language, Chinese Language, Design & Technology, English Language, English Language, Food & Consumer Education, Geography, Geography, Higher Chinese Language, Higher Chinese Language, Higher Art, Higher Art, History, History, Literature In Chinese, Literature In English, Literature In English, Mathematics, Mathematics, Malay Language (special Programme), Malay Language (special Programme), Physics, Science, Humanities (SS, Geography), Humanities (SS, History), Humanities (SS, Literature In Chinese), Music, Physical Education",Language Elective Programme (Chinese)
NAN HUA PRIMARY SCHOOL,http://www.nanhuapri.moe.edu.sg,30   Jalan Lempeng,128806,Clementi MRT Station,"30, 51, 143, 175, 201, 533, 655, 727, 762",CLEMENTI,WEST,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,DOUBLE SESSION,PRIMARY,Yes,No,Yes,No,Chinese,na,na,,"Art, Chinese Language, English Language, Foundation English Language, Foundation Mathematics, Higher Chinese Language, Mathematics, Music, Physical Education, Science, Social Studies",
NANYANG GIRLS' HIGH SCHOOL,https://www.nygh.edu.sg,2    LINDEN DRIVE,288683,"SIXTH AVENUE MRT, TAN KAH KEE MRT","66, 67, 74, 151, 154, 156, 157, 170, 174, 852, 961",BUKIT TIMAH,WEST,INDEPENDENT SCHOOL,GIRLS' SCHOOL,SINGLE SESSION,SECONDARY,Yes,No,Yes,Yes,Chinese,na,na,,"Advanced Music, Appreciation Of Chinese Culture, Art, Dance, Food Studies, Geography, Higher Art, Higher Chinese Language, History, Chemistry, Geography, Higher Art, Higher Chinese Language, History, Integrated Mathematics 2, Language Arts, Literature, Literature In Chinese, Literature In English, Malay Special Programme, Physics, Malay Language (special Programme), Malay Language (special Programme)","Art Elective Programme, Bicultural Studies Programme, Language Elective Programme (Chinese)"
NANYANG JUNIOR COLLEGE,http://www.nanyangjc.moe.edu.sg/,128  SERANGOON AVENUE 3,556111,2-minute walk from the Lorong Chuan MRT Station (Circle Line),"22, 24, 53, 73, 133, 105, 135, 136, 156, 853",SERANGOON,SOUTH,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,FULL DAY,JUNIOR COLLEGE,No,No,No,No,Chinese,Malay,Tamil,,"Chinese Language Syllabus B, Biology, Chemistry, Chinese Language, Economics, Geography, General Paper, History, Literature In English, Mathematics, Malay Language, Physics, Project Work, Tamil Language, Art, Biology, Chemistry, Chinese Language And Literature, Translation (Chinese), Computing, Economics, Further Mathematics, Geography, History, Literature In English, Mathematics, Malay Language And Literature, Physics, Art, Biology, Chemistry, Chinese Language And Literature, Economics, Smu Game Theory, History, NUS-MOE Humanities & Social Science Research (Econs), NUS-MOE Humanities & Social Science Research (Lit In EL), Literature In English, Mathematics, NTU Molecular Biology, NTU Semiconductor Physics & Devices, NUS Geopolitics: Geographies Of War & Peace, Physics, Malay Language Syllabus B, Physical Education","Art Elective Programme, Language Elective Programme (Chinese), Engineering and Tech Programme and Scholarship"
NANYANG PRIMARY SCHOOL,http://www.nyps.moe.edu.sg,52   KING'S ROAD,268097,Farrer Rd MRT Station,"66, 67, 74, 93, 151, 153, 154, 156, 157, 165, 170, 171, 174, 186, 852, 855, 961",BUKIT TIMAH,WEST,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,Yes,No,Yes,No,Chinese,na,na,,"Art, Chinese Language, English Language, Foundation English Language, Foundation Mathematics, Higher Chinese Language, Individualised Study Option, Mathematics, Music, Physical Education, Science, Social Studies",
NATIONAL JUNIOR COLLEGE,http://www.nationaljc.moe.edu.sg,37   HILLCREST ROAD,288913,"BOTANIC GARDENS MRT, TAN KAH KEE MRT, SIXTH AVENUE MRT","66, 67, 74, 151, 154, 156, 157, 170, 174, 852, 961, 972",BUKIT TIMAH,SOUTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,FULL DAY,MIXED LEVELS,No,No,No,Yes,Chinese,Malay,Tamil,"SOFTBALL, SQUASH, SQUASH, TRACK AND FIELD, TRACK AND FIELD, CHINESE ORCHESTRA, CHINESE ORCHESTRA, CHOIR, CHOIR, GUITAR ENSEMBLE, GUITAR ENSEMBLE, STRING ENSEMBLE, MALAY DANCE, MALAY DANCE, STRING ENSEMBLE, MODERN DANCE, SOFTBALL, STUDENT LEADERSHIP (COUNCIL), STUDENT LEADERSHIP (COUNCIL), SHOOTING, SHOOTING, BASKETBALL, BASKETBALL, CANOEING, CANOEING, CONCERT BAND, CONCERT BAND, GUZHENG ENSEMBLE, GUZHENG ENSEMBLE, MODERN DANCE, CHINESE DANCE, CHINESE DANCE, INDIAN DANCE, INDIAN DANCE","Self Mastery Plus Programme, General Arts Programme (Art), Integrated Sciences, Drama-in-production, Art Elective Programme, Music Programme, Advanced Science, Advanced Humanities, Government & Society, Chinese Language Syllabus B, Biology, Chemistry, Chinese Language, Chinese Language, Geography, Geography, Higher Chinese Language, Higher Chinese Language, History, History, Higher Malay Language, Higher Malay Language, Higher Tamil Language, Higher Tamil Language, Mathematics, Mathematics, Physics, Biology, Chemistry, Chinese Language, Economics, General Paper, Mathematics, Malay Language, Physics, Project Work, Tamil Language, Art, Biology, Chemistry, Chinese Language And Literature, Computing, Economics, English Language And Linguistic, Further Mathematics, Geography, History, Knowledge & Inquiry, Literature In English, Mathematics, Malay Language And Literature, Music, Physics, Tamil Language And Literature, Art, Chemistry, Economics, Smu Game Theory, Geography, History, Literature In English, Mathematics, NTU Molecular Biology, NTU Semiconductor Physics & Devices, NUS-A*STAR-NJC Science Research (Biology), NUS-A*STAR-NJC Science Research (Chemistry), NUS-A*STAR-NJC Science Research (Mathematics), NUS-A*STAR-NJC Science Research (Physics), Physics, Malay Language Syllabus B, Physical Education, Physical Education, Physical Education, Physical Education","Art Elective Programme , Art Elective Programme, Language Elective Programme (Malay), Language Elective Programme (Tamil), Humanities Scholarship and Programme, Engineering and Tech Programme and Scholarship"
NAVAL BASE PRIMARY SCHOOL,http://www.navalbasepri.moe.edu.sg/,7    YISHUN AVE 4,769028,Yishun MRT Station,Feeder bus No. 811 from Yishun Interchange.,YISHUN,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,,"Art, Chinese Language, English Language, Foundation Chinese Language, Foundation English Language, Foundation Mathematics, Foundation Malay Language, Foundation Science, Foundation Tamil Language, Higher Chinese Language, Hindi Language, Higher Malay Language, Higher Tamil Language, Mathematics, Malay Language, Music, Physical Education, Science, Social Studies, Tamil Language",
NAVAL BASE SECONDARY SCHOOL,http://www.navalbasesec.moe.edu.sg,901  YISHUN RING ROAD,768689,KHATIB MRT,"39, 85, 117, 670, 807, 811, 812, 851, 852, 853, 854, 855, 857, 858, 965, 969",YISHUN,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil,,"Chinese Language Syllabus B, Art, Basic Chinese Language, Computer Applications, Design & Technology, English Language, Food & Consumer Education, Mathematics, Basic Malay Language, Music, Science, Social Studies, Basic Tamil Language, Art, Chinese Language, Design & Technology, English Language, Food & Consumer Education, Mathematics, Malay Language, Nutrition And Food Science, Principles Of Accounts, Science (Chem, Bio), Science (Phy, Chem), Humanities (SS, Geography), Humanities (SS, History), Humanities (SS, Literature In English), Tamil Language, Additional Mathematics, Art, Art, Biology, Chemistry, Chinese Language, Chinese Language, Design & Technology, Design & Technology, English Language, English Language, Food & Consumer Education, Higher Chinese Language, Higher Chinese Language, Mathematics, Mathematics, Malay Language, Malay Language, Nutrition And Food Science, Physics, Principles Of Accounts, Science (Chem, Bio), Science (Phy, Chem), Humanities (SS, Geography), Humanities (SS, History), Humanities (SS, Literature In English), Tamil Language, Tamil Language, Malay Language Syllabus B, Music, Physical Education, Tamil Language Syllabus B",Enhanced Art Programme
NEW TOWN PRIMARY SCHOOL,http://www.newtownpri.moe.edu.sg/,300  Tanglin Halt Road,148812,Commonwealth MRT Station,"SBS Numbers 32, 100, 105, 111, 145, 147, 195, 196, 198, 855",QUEENSTOWN,SOUTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,,"Art, Chinese Language, English Language, Foundation Chinese Language, Foundation English Language, Foundation Mathematics, Foundation Malay Language, Foundation Science, Foundation Tamil Language, Higher Chinese Language, Higher Malay Language, Higher Tamil Language, Mathematics, Music, Physical Education, Science, Social Studies, Tamil Language",
NEW TOWN SECONDARY SCHOOL,http://www.newtownsec.moe.edu.sg,1020 DOVER ROAD,139657,"DOVER MRT, CLEMENTI MRT","33, 96, 96A, 151, 196, 183",QUEENSTOWN,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil,,"Basic Chinese Language, Computer Applications, English Language, Smart Electrical Technology, Mathematics, Basic Malay Language, Science, Social Studies, Basic Tamil Language, Additional Mathematics, Art, Chinese Language, Design & Technology, English Language, Mathematics, Malay Language, Science (Phy, Chem), Humanities (SS, History), Humanities (SS, Literature In English), Tamil Language, Additional Mathematics, Art, Art, Biology, Chemistry, Chinese Language, Chinese Language, Design & Technology, Design & Technology, English Language, English Language, Electronics, Geography, Geography, Mathematics, Mathematics, Malay Language, Malay Language, Nutrition And Food Science, Physics, Science (Chem, Bio), Science (Phy, Chem), Humanities (SS, Geography), Humanities (SS, History), Humanities (SS, Literature In English), Tamil Language, Tamil Language",Enhanced Art Programme
NGEE ANN PRIMARY SCHOOL,http://www.ngeeannpri.moe.edu.sg,344  MARINE TERRACE,449149,Nil,"13, 16, 16M, 31,36, 43, 47, 48, 55, 135, 196, 196E, 197, 853M (at Marine Parade road) 13, 16, 16M, 196 and 196E(at Marine Terrace)",MARINE PARADE,EAST,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,,"Art, Chinese Language, English Language, Foundation Chinese Language, Foundation English Language, Foundation Mathematics, Foundation Malay Language, Foundation Science, Higher Chinese Language, Higher Malay Language, Higher Tamil Language, Mathematics, Malay Language, Music, Physical Education, Science, Social Studies, Tamil Language",
NGEE ANN SECONDARY SCHOOL,http://www.ngeeannsec.moe.edu.sg,1    TAMPINES STREET 32,529283,"TAMPINES MRT, SIMEI MRT, TAMPINES EAST MRT","3, 4, 8, 9, 12, 17, 18, 19, 21, 28, 29, 34, 37, 38, 39, 59, 81, 291, 293, 518, 552",TAMPINES,EAST,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,Yes,No,No,Chinese,Malay,Tamil,,"Basic Chinese Language, Computer Applications, Elements Of Business Skills, Smart Electrical Technology, Basic Malay Language, Science, Social Studies, Additional Mathematics, Art, Art, Biology, Chemistry, Chinese Language, Chinese Language, Computing, Design & Technology, Design & Technology, English Language, English Language, Geography, Geography, Higher Chinese Language, Higher Chinese Language, History, History, Higher Malay Language, Higher Malay Language, Literature In English, Literature In English, Mathematics, Mathematics, Malay Language, Malay Language, Physics, Principles Of Accounts, Science (Chem, Bio), Science (Phy, Chem), Humanities (SS, Geography), Humanities (SS, History), Music, Physical Education",Enhanced Art Programme
NORTH SPRING PRIMARY SCHOOL,http://www.northspringpri.moe.edu.sg,1    RIVERVALE STREET,545088,NEL - Sengkang Station LRT - Bakau Station,"SBS Transit Services 82, 85, 86, 88, 119, 136, 163, 372",SENG KANG,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,,"Art, Chinese Language, English Language, Foundation Chinese Language, Foundation English Language, Foundation Mathematics, Foundation Malay Language, Foundation Tamil Language, Higher Chinese Language, Higher Malay Language, Higher Tamil Language, Mathematics, Malay Language, Music, Physical Education, Science, Social Studies, Tamil Language",
NORTH VIEW PRIMARY SCHOOL,http://www.northviewpri.moe.edu.sg,210  YISHUN AVENUE 6,768960,Yishun Khatib,"Feeder Service 804, 806, 807, 860",YISHUN,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,,"Art, Chinese Language, English Language, Foundation Chinese Language, Foundation English Language, Foundation Mathematics, Foundation Malay Language, Foundation Science, Foundation Tamil Language, Higher Chinese Language, Higher Malay Language, Higher Tamil Language, Mathematics, Malay Language, Music, Physical Education, Science, Social Studies, Tamil Language",
NORTH VISTA PRIMARY SCHOOL,http://www.northvistapri.moe.edu.sg,20   Compassvale Link,544974,"Buangkok MRT (NE15), Ranggung LRT (SE5)",na,SENG KANG,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,,"Art, Chinese Language, English Language, Mathematics, Malay Language, Music, Physical Education, Science, Social Studies, Tamil Language",
NORTH VISTA SECONDARY SCHOOL,http://www.northvistasec.moe.edu.sg,11   RIVERVALE LINK,545081,"SENGKANG MRT, BUANGKOK MRT, RANGGUNG LRT","80, 82, 87, 88, 89, 119",SENG KANG,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil,,"Basic Chinese Language, Computer Applications, Elements Of Business Skills, English Language, Food & Consumer Education, Mathematics, Basic Malay Language, Science, Social Studies, Art, Chinese Language, English Language, Food & Consumer Education, Geography, History, Mathematics, Malay Language, Science, Science (Phy, Chem), Humanities (SS, Geography), Humanities (SS, History), Humanities (SS, Literature In English), Additional Mathematics, Art, Art, Biology, Chemistry, Chinese Language, Chinese Language, Design & Technology, Design & Technology, English Language, English Language, Exercise & Sports Science, Food & Consumer Education, Geography, Geography, Higher Chinese Language, Higher Chinese Language, History, History, Higher Malay Language, Higher Malay Language, Literature In English, Literature In English, Mathematics, Mathematics, Malay Language, Malay Language, Nutrition And Food Science, Physics, Science, Science (Chem, Bio), Science (Phy, Chem), Humanities (SS, Geography), Humanities (SS, History), Humanities (SS, Literature In English), Physical Education",
